,X,name,mass,eff,diet,order,family,habitat,fac,loco,genus,name2,mass2,eff2,name3,mass3,speed3
2,2,Abrocoma_bennettii,0.2505,0.555687364,2,Rodentia,Abrocomidae,5,1,1,Abrocoma,NA,NA,NA,Abrocoma_bennettii,NA,NA
3,3,Acinonyx_jubatus,50,0.852430692,1,Carnivora,Felidae,4,3,2,Acinonyx,Acinonyx_jubatus,50,0.8278708,Acinonyx jubatus,56.9,108.45586
4,4,Acomys_cahirinus,0.0525,0.600016231,3,Rodentia,Muridae,3,1,1,Acomys,NA,NA,NA,Acomys_cahirinus,NA,NA
5,5,Acrobates_pygmaeus,0.012,0.612040451,3,Diprotodontia,Arcobatidae,1,2,1,Acrobates,NA,NA,NA,Acrobates_pygmaeus,NA,NA
6,6,Addax_nasomaculatus,70.0003,0.917332987,2,Artiodactyla,Bovidae,3,3,3,Addax,Addax_nasomaculatus,70.0003,0.908859326,Addax_nasomaculatus,NA,NA
7,7,Aepyceros_melampus,52.5001,0.868330185,2,Artiodactyla,Bovidae,4,3,3,Aepyceros,Aepyceros_melampus,52.5001,0.898561902,Aepyceros melampus,51.625,46.3384
8,8,Aepyprymnus_rufescens,3.25,0.604893167,2,Diprotodontia,Potoroidae,1,3,1,Aepyprymnus,Aepyprymnus_rufescens,3.25,0.638025058,Aepyprymnus_rufescens,NA,NA
9,9,Agouti_paca,8,0.775456334,2,Rodentia,Agoutidae,1,3,1,Agouti,Agouti_paca,8,0.726888514,Agouti_paca,NA,NA
10,10,Ailuropoda_melanoleuca,108.4,0.762186633,1,Carnivora,Ursidae,1,3,1,Ailuropoda,Ailuropoda_melanoleuca,108.4,0.732634705,Ailuropoda_melanoleuca,NA,NA
11,11,Ailurops_ursinus,10,0.661447267,2,Diprotodontia,Phalangeridae,2,2,1,Ailurops,Ailurops_ursinus,10,0.738386491,Ailurops_ursinus,NA,NA
12,12,Ailurus_fulgens,4.9,0.721498063,1,Carnivora,Ursidae,2,2,1,Ailurus,Ailurus_fulgens,4.9,0.774636561,Ailurus_fulgens,NA,NA
13,13,Alcelaphus_buselaphus,171.0015,0.872906874,2,Artiodactyla,Bovidae,4,3,3,Alcelaphus,Alcelaphus_buselaphus,171.0015,0.898213911,Alcelaphus buselaphus,153,78.99016
14,14,Alces_alces,358.9963,0.874788952,2,Artiodactyla,Cervidae,4,3,3,Alces,Alces_alces,358.9963,0.909390656,Alces alces,417,55.27342
15,15,Allactaga_elater,0.059,0.571646635,2,Rodentia,Dipodidae,3,3,1,Allactaga,Allactaga_elater,0.059,0.622731662,Allactaga_elater,NA,NA
16,16,Allenopithecus_nigroviridis,4.75,0.789663466,3,Primates,Cercopithecidae,2,2,1,Allenopithecus,Allenopithecus_nigroviridis,4.75,0.753801142,Allenopithecus_nigroviridis,NA,NA
17,17,Allocebus_trichotis,0.0775,0.699998677,3,Primates,Cheirogaleidae,2,2,1,Allocebus,NA,NA,NA,Allocebus_trichotis,NA,NA
18,18,Alopex_lagopus,4.86765,0.852823299,1,Carnivora,Canidae,4,3,2,Alopex,Alopex_lagopus,6.2853,0.860264534,Alopex_lagopus,NA,NA
19,19,Alouatta_fusca,8,0.658712409,2,Primates,Cebidae,2,2,1,Alouatta,NA,NA,NA,Alouatta_fusca,NA,NA
20,20,Ammospermophilus_leucurus,0.1037,0.476078045,2,Rodentia,Sciuridae,3,1,1,Ammospermophilus,Ammospermophilus_leucurus,0.1037,0.581951267,Ammospermophilus leucurus,0.07589635,16.77222247
21,21,Antechinus_flavipes,0.045,0.514278755,2,Dasyuromorphia,Dasyuridae,1,2,1,Antechinus,NA,NA,NA,Antechinus flavipes,0.0519998,16.19908997
22,22,Antechinus_stuartii,0.0275,0.540525795,2,Dasyuromorphia,Dasyuridae,1,2,1,Antechinus,Antechinus_stuartii,0.0275,0.644115024,Antechinus_stuartii,NA,NA
23,23,Antidorcas_marsupialis,39.0499,0.836446472,2,Artiodactyla,Bovidae,4,3,3,Antidorcas,Antidorcas_marsupialis,39.0499,0.83045806,Antidorcas marsupialis,34,95.651
24,24,Antilocapra_americana,46.0829,0.873867772,2,Artiodactyla,Antilocapridae,4,3,3,Antilocapra,Antilocapra_americana,46.0829,0.910981705,Antilocapra americana,50,98.6
25,25,Antilope_cervicapra,37.5,0.866047483,2,Artiodactyla,Bovidae,4,3,3,Antilope,Antilope_cervicapra,37.5,0.790479009,Antilope cervicapra,37.25,103.5408
26,26,Aotus_lemurinus,0.873,0.763248951,3,Primates,Cebidae,2,2,1,Aotus,Aotus_lemurinus,0.873,0.829161615,Aotus_lemurinus,NA,NA
27,27,Aplodontia_rufa,1.004,0.705409388,2,Rodentia,Aplodontidae,5,1,1,Aplodontia,Aplodontia_rufa,1.004,0.731280232,Aplodontia_rufa,NA,NA
28,28,Apodemus_agrarius,0.0215,0.61448417,3,Rodentia,Muridae,4,1,1,Apodemus,NA,NA,NA,Apodemus_agrarius,NA,NA
29,29,Arborimus_longicaudus,0.0218,0.640896608,2,Rodentia,Muridae,2,2,1,Arborimus,NA,NA,NA,Arborimus_longicaudus,NA,NA
30,30,Arctictis_binturong,13,0.700359352,1,Carnivora,Viverridae,2,2,1,Arctictis,Arctictis_binturong,13,0.725821512,Arctictis_binturong,NA,NA
31,31,Arctogalidia_trivirgata,2.25,0.672117662,1,Carnivora,Viverridae,2,2,2,Arctogalidia,Arctogalidia_trivirgata,2.25,0.454640713,Arctogalidia_trivirgata,NA,NA
32,32,Arctonyx_collaris,6.356,0.795805161,1,Carnivora,Mustelidae,1,1,2,Arctonyx,Arctonyx_collaris,6.356,0.834020215,Arctonyx_collaris,NA,NA
33,33,Arvicanthis_niloticus,0.1388,0.63898651,2,Rodentia,Muridae,4,1,1,Arvicanthis,NA,NA,NA,Arvicanthis_niloticus,NA,NA
34,34,Atelerix_albiventris,0.6,0.670268388,1,Insectivora,Erinaceidae,4,3,2,Atelerix,NA,NA,NA,Atelerix_albiventris,NA,NA
35,35,Ateles_belzebuth,5,0.580765658,3,Primates,Cebidae,2,2,1,Ateles,Ateles_belzebuth,5,0.755160512,Ateles_belzebuth,NA,NA
36,36,Ateles_geoffroyi,5.2849,0.834840185,3,Primates,Cebidae,2,2,1,Ateles,Ateles_geoffroyi,5.2849,0.841618211,Ateles_geoffroyi,NA,NA
37,37,Atilax_paludinosus,3.3,0.724511497,1,Carnivora,Herpestidae,1,3,2,Atilax,Atilax_paludinosus,3.3,0.739108638,Atilax_paludinosus,NA,NA
38,38,Atlantoxerus_getulus,0.251,0.633137711,2,Rodentia,Sciuridae,3,1,1,Atlantoxerus,Atlantoxerus_getulus,0.251,0.69726337,Atlantoxerus_getulus,NA,NA
39,39,Auliscomys_boliviensis,0.0657,0.65799535,2,Rodentia,Muridae,3,3,1,Auliscomys,NA,NA,NA,Auliscomys_boliviensis,NA,NA
40,40,Avahi_laniger,0.9,0.340463569,2,Primates,Indridae,2,2,1,Avahi,NA,NA,NA,Avahi_laniger,NA,NA
41,41,Axis_axis,67.2818667,0.865269083,2,Artiodactyla,Cervidae,4,3,3,Axis,Axis_axis,70,0.882470915,Axis_axis,NA,NA
42,42,Babyrousa_babyrussa,100,0.88066743,2,Artiodactyla,Suidae,1,3,3,Babyrousa,Babyrousa_babyrussa,100,0.901702546,Babyrousa_babyrussa,NA,NA
43,43,Bandicota_indica,0.71995,0.654868738,2,Rodentia,Muridae,4,1,1,Bandicota,NA,NA,NA,Bandicota_indica,NA,NA
44,44,Bassaricyon_gabbii,1.25,0.675607982,1,Carnivora,Procyonidae,2,2,1,Bassaricyon,Bassaricyon_gabbii,1.25,0.668909303,Bassaricyon_gabbii,NA,NA
45,45,Bettongia_penicillata,1.3,0.576656243,3,Diprotodontia,Potoroidae,1,3,1,Bettongia,Bettongia_penicillata,1.3,0.582944416,Bettongia_penicillata,NA,NA
46,46,Bison_bison,579.2553,0.846064442,2,Artiodactyla,Bovidae,4,3,3,Bison,Bison_bison,579.2553,0.904538664,Bison bison,882.5,55.216
47,47,Blarina_brevicauda,0.028,0.564175117,3,Insectivora,Soricidae,4,1,1,Blarina,NA,NA,NA,Blarina brevicauda,0.016,3.600000002
48,48,Bos_sauveli,800,0.852651988,2,Artiodactyla,Bovidae,4,3,3,Bos,Bos_sauveli,800,0.890036049,Bos sauveli,800,28.57456
49,49,Bradypus_torquatus,3.9,0.886278207,2,Xenarthra,Bradypodidae,2,2,1,Bradypus,NA,NA,NA,Bradypus_torquatus,NA,NA
50,50,Bubalus_bubalis,825,0.898183267,2,Artiodactyla,Bovidae,4,3,3,Bubalus,Bubalus_bubalis,37.5,0.868745597,Bubalus_bubalis,NA,NA
51,51,Budorcas_taxicolor,302,0.876086461,2,Artiodactyla,Bovidae,5,3,3,Budorcas,Budorcas_taxicolor,302,0.904988443,Budorcas_taxicolor,NA,NA
52,52,Burramys_parvus,0.0415,0.613159892,3,Diprotodontia,Burramyidae,2,2,1,Burramys,NA,NA,NA,Burramys_parvus,NA,NA
53,53,Cabassous_chacoensis,1.49,0.631691122,3,Xenarthra,Dasypodidae,1,1,1,Cabassous,NA,NA,NA,Cabassous_chacoensis,NA,NA
54,54,Cacajao_melanocephalus,3.8,0.435740067,2,Primates,Cebidae,2,2,1,Cacajao,NA,NA,NA,Cacajao_melanocephalus,NA,NA
55,55,Callicebus_personatus,1.35,0.55524986,2,Primates,Cebidae,2,2,1,Callicebus,Callicebus_personatus,1.35,0.850312328,Callicebus_personatus,NA,NA
56,56,Callimico_goeldii,0.48,0.528473958,3,Primates,Callitrichidae,2,2,1,Callimico,NA,NA,NA,Callimico_goeldii,NA,NA
57,57,Callithrix_jacchus,0.292,0.528348645,3,Primates,Callitrichidae,2,2,1,Callithrix,NA,NA,NA,Callithrix_jacchus,NA,NA
58,58,Callosciurus_caniceps,0.257,0.647465288,3,Rodentia,Sciuridae,2,2,1,Callosciurus,Callosciurus_caniceps,0.257,0.606685861,Callosciurus_caniceps,NA,NA
59,59,Calomyscus_bailwardi,0.0204,0.621289735,2,Rodentia,Muridae,3,1,1,Calomyscus,NA,NA,NA,Calomyscus_bailwardi,NA,NA
60,60,Caluromys_derbianus,0.297,0.692171646,3,Didelphimorphia,Didelphidae,2,2,1,Caluromys,NA,NA,NA,Caluromys_derbianus,NA,NA
61,61,Camelus_bactrianus,690,0.927505879,2,Artiodactyla,Camelidae,3,3,3,Camelus,Camelus_bactrianus,690,0.84151782,Camelus_bactrianus,NA,NA
62,62,Camelus_dromedarius,601,0.93835264,2,Artiodactyla,Camelidae,3,3,3,Camelus,Camelus_dromedarius,402,0.919634772,Camelus dromedarius,525,31.5439
63,63,Canis_aureus,10.3452,0.855337846,1,Carnivora,Canidae,4,3,2,Canis,Canis_aureus,10.9999,0.824982872,Canis aureus,9.200117039,54.95969636
64,64,Canis_latrans,13.4063,0.858009679,1,Carnivora,Canidae,4,3,2,Canis,Canis_latrans,13.4063,0.848316284,Canis latrans,14.20049368,63.79065489
65,65,Canis_lupus,32.183,0.824005186,1,Carnivora,Canidae,4,3,2,Canis,Canis_lupus,16.8,0.844350088,Canis lupus,37.65,63.02948
66,66,Canis_mesomelas,8.5,0.867395133,1,Carnivora,Canidae,4,3,2,Canis,Canis_mesomelas,8.5,0.808147072,Canis_mesomelas,NA,NA
67,67,Canis_rufus,22.9832,0.865097243,1,Carnivora,Canidae,4,3,2,Canis,Canis_rufus,22.9832,0.852341338,Canis_rufus,NA,NA
68,68,Canis_simensis,10,0.855376183,1,Carnivora,Canidae,4,3,2,Canis,Canis_simensis,10,0.85596262,Canis_simensis,NA,NA
69,69,Capra_caucasica,55,0.876197952,2,Artiodactyla,Bovidae,5,3,3,Capra,Capra_caucasica,55,0.900655095,Capra_caucasica,NA,NA
70,70,Capra_falconeri,41,0.901651453,2,Artiodactyla,Bovidae,5,3,3,Capra,Capra_falconeri,41,0.887533985,Capra_falconeri,NA,NA
71,71,Capreolus_capreolus,22.5,0.816498559,2,Artiodactyla,Cervidae,4,3,3,Capreolus,Capreolus_capreolus,22.5,0.855540832,Capreolus capreolus,50,59.15838
72,72,Capromys_pilorides,5.65,0.685752474,3,Rodentia,Capromyidae,1,3,1,Capromys,Capromys_pilorides,5.65,0.84250027,Capromys_pilorides,NA,NA
73,73,Caracal_caracal,13.7499,0.807630744,1,Carnivora,Felidae,4,3,2,Caracal,Caracal_caracal,13.7499,0.80483632,Caracal caracal,6.6,80
74,74,Catopuma_temminckii,11.5,0.809192418,1,Carnivora,Felidae,1,3,2,Catopuma,Catopuma_temminckii,11.5,0.796327397,Catopuma_temminckii,NA,NA
75,75,Cavia_aperea,0.549,0.621194748,2,Rodentia,Caviidae,4,1,1,Cavia,NA,NA,NA,Cavia_aperea,NA,NA
76,76,Cebus_capucinus,2.7333,0.821063238,3,Primates,Cebidae,2,2,1,Cebus,Cebus_capucinus,2.7333,0.721194772,Cebus_capucinus,NA,NA
77,77,Cephalophus_adersi,9.25,0.870232747,2,Artiodactyla,Bovidae,1,3,3,Cephalophus,Cephalophus_adersi,9.25,0.86026837,Cephalophus_adersi,NA,NA
78,78,Cephalophus_monticola,6.25,0.825634586,2,Artiodactyla,Bovidae,1,3,3,Cephalophus,NA,NA,NA,Cephalophus_monticola,NA,NA
79,79,Ceratotherium_simum,2949.9863,0.821568289,2,Perissodactyla,Rhinocerotidae,4,3,3,Ceratotherium,Ceratotherium_simum,2949.9863,0.880931942,Ceratotherium simum,2500,24.67916
80,80,Cercartetus_concinnus,0.013,0.609832226,2,Diprotodontia,Burramyidae,2,2,1,Cercartetus,Cercartetus_concinnus,0.013,0.881710149,Cercartetus_concinnus,NA,NA
81,81,Cercocebus_galeritus,7.835,0.840757696,2,Primates,Cercopithecidae,2,2,1,Cercocebus,Cercocebus_galeritus,7.835,0.873243539,Cercocebus_galeritus,NA,NA
82,82,Cercopithecus_petaurista,2.775,0.730284331,3,Primates,Cercopithecidae,2,2,1,Cercopithecus,Cercopithecus_petaurista,2.775,0.768694806,Cercopithecus_petaurista,NA,NA
83,83,Cervus_elaphus,165.01585,0.863812506,2,Artiodactyla,Cervidae,4,3,3,Cervus,Cervus_elaphus,156.25,0.87650381,Cervus elaphus,300,70.9848
84,84,Cervus_unicolor,177.508325,0.895088118,2,Artiodactyla,Cervidae,4,3,3,Cervus,Cervus_unicolor,211.62,0.899476742,Cervus_unicolor,NA,NA
85,85,Chaetodipus_baileyi,0.0263,0.551186503,3,Rodentia,Heteromyidae,3,1,1,Chaetodipus,NA,NA,NA,Chaetodipus baileyi,0.039101046,12.09200991
86,86,Chaetodipus_fallax,0.0187,0.557828501,2,Rodentia,Heteromyidae,3,1,1,Chaetodipus,NA,NA,NA,Chaetodipus fallax,0.01800057,12.45045852
87,87,Chaetomys_subspinosus,1.3,0.775818906,2,Rodentia,Echimyidae,2,2,1,Chaetomys,NA,NA,NA,Chaetomys_subspinosus,NA,NA
88,88,Chaetophractus_nationi,2.15,0.698600234,1,Xenarthra,Dasypodidae,5,1,1,Chaetophractus,NA,NA,NA,Chaetophractus_nationi,NA,NA
89,89,Cheirogaleus_major,0.45,0.630235203,3,Primates,Cheirogaleidae,2,2,1,Cheirogaleus,NA,NA,NA,Cheirogaleus_major,NA,NA
90,90,Chinchilla_brevicaudata,0.5,0.582610689,3,Rodentia,Chinchillidae,5,3,1,Chinchilla,NA,NA,NA,Chinchilla_brevicaudata,NA,NA
91,91,Chionomys_nivalis,0.054,0.636093576,2,Rodentia,Muridae,5,1,1,Chionomys,NA,NA,NA,Chionomys_nivalis,NA,NA
92,92,Chironectes_minimus,0.946,0.677724366,1,Didelphimorphia,Didelphidae,1,2,1,Chironectes,Chironectes_minimus,0.946,0.661264723,Chironectes_minimus,NA,NA
93,93,Chiropodomys_gliroides,0.0215,0.592669435,2,Rodentia,Muridae,2,2,1,Chiropodomys,NA,NA,NA,Chiropodomys_gliroides,NA,NA
94,94,Chiropotes_satanas,3,0.688921093,3,Primates,Cebidae,2,2,1,Chiropotes,Chiropotes_satanas,3,0.780052156,Chiropotes_satanas,NA,NA
95,95,Chlorocebus_aethiops,4.155,0.867514761,3,Primates,Cercopithecidae,2,2,1,Chlorocebus,Chlorocebus_aethiops,4.155,0.854719636,Chlorocebus_aethiops,NA,NA
96,96,Choloepus_didactylus,5.16,0.806193623,2,Xenarthra,Megalonychidae,2,2,1,Choloepus,NA,NA,NA,Choloepus_didactylus,NA,NA
97,97,Chrysocyon_brachyurus,23.2498,0.907769119,1,Carnivora,Canidae,4,3,2,Chrysocyon,Chrysocyon_brachyurus,23.2498,0.904339723,Chrysocyon_brachyurus,NA,NA
